date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:32:36	4342/4342	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:38%20GMT	https://ifrfund.com/images/sec1.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/sec1.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:37	3193/3193	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:38%20GMT	https://ifrfund.com/images/sec2.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/sec2.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:38	2792/2792	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:40%20GMT	https://ifrfund.com/images/sec3.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/sec3.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:39	11436/11436	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:40%20GMT	https://ifrfund.com/images/cert-logo.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/cert-logo.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:40	1135/1135	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:40%20GMT	https://ifrfund.com/images/about.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/about.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:42	101324/101324	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:42%20GMT	https://ifrfund.com/images/refs1.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/refs1.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:43	2439/2439	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:46%20GMT	https://ifrfund.com/images/stat1.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/stat1.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:44	2114/2114	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:48%20GMT	https://ifrfund.com/images/stat3.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/stat3.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:45	2391/2391	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:50%20GMT	https://ifrfund.com/images/stat2.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/stat2.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:46	2060/2060	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:48%20GMT	https://ifrfund.com/images/stat4.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/stat4.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:47	3241/3241	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:52%20GMT	https://ifrfund.com/images/pay2.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/pay2.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
